dataset,roi,truth,estimator,estimator_sign_multiplier,n_pixels,true_mean_mm_s,true_median_mm_s,estimate_mean_mm_s,estimate_median_mm_s,bias_mm_s,mae_mm_s,median_abs_error_mm_s,p90_abs_error_mm_s,rmse_mm_s,pearson_r,rmse_percent_reference_peak,fit_slope_est_vs_true,fit_intercept_mm_s,sign_agreement_true_ge_1mm_s
zenodo_4343435,raw_positions,aliased_phase_velocity,Kasai CD,-1.0,1503,0.191092156728761,0.0970685578067787,-0.4270491774213219,-0.08945893932832405,-0.618141334150083,4.306880589126763,1.6493252478539944,14.792151004076004,7.691219523860566,0.4167964426970786,62.428729901465644,0.4532100216225031,-0.5136540579042543,0.7727272727272727
zenodo_4343435,raw_positions,physical_unwrapped_velocity,Kasai CD,1.0,1503,4.454086916920407,0.14499668031930923,0.4270491774213219,0.08945893932832405,-4.027037739499085,16.398239650673126,10.925616137683392,38.576789945364,22.778394391578384,0.13488174951683882,,0.044860489826049926,0.22723665660047151,0.39681274900398406
zenodo_4343435,raw_positions,aliased_phase_velocity,multi-lag v_phi,-1.0,1503,0.191092156728761,0.0970685578067787,-0.2556294852839883,0.38293146644718945,-0.44672164201274933,4.653646662708675,2.777263754978776,11.806446500122547,6.787913344080342,0.2981067710146331,55.09669922143136,0.17569291277525959,-0.28920302290817085,0.7099173553719008
zenodo_4343435,raw_positions,physical_unwrapped_velocity,multi-lag v_phi,1.0,1503,4.454086916920407,0.14499668031930923,0.2556294852839883,-0.38293146644718945,-4.1984574316364185,16.977577305932517,13.169565296266228,36.546043370617554,22.951536535869433,-0.0044858542312832895,,-0.0008086542611380941,0.25923130164883534,0.32749003984063746
zenodo_4343435,raw_positions,aliased_phase_velocity,SVD W=3 phase-slope,-1.0,1503,0.191092156728761,0.0970685578067787,-0.9085330442946167,-0.10369334631832317,-1.0996252010233776,4.716147461728009,1.8057143315672874,17.22634714096784,8.18170599361002,0.3321515809476021,66.40995124683458,0.3538017343709428,-0.9761417807699356,0.7570247933884298
zenodo_4343435,raw_positions,physical_unwrapped_velocity,SVD W=3 phase-slope,1.0,1503,4.454086916920407,0.14499668031930923,0.9085330442946167,0.10369334631832317,-3.5455538726257902,16.03291974477619,10.150341782718897,38.85035291314125,22.43840724402246,0.16738807739744338,,0.054536024313989316,0.6656248518968235,0.39760956175298806
zenodo_4343435,raw_positions,aliased_phase_velocity,SVD W=3 adjacent,-1.0,1503,0.191092156728761,0.0970685578067787,-0.9168677326306851,-0.1100112494896166,-1.107959889359446,4.708883588011819,1.803787425160408,17.22634676843881,8.17616658640683,0.33386933403041225,66.36498852602946,0.3559263795366369,-0.9848824721330004,0.7578512396694215
zenodo_4343435,raw_positions,physical_unwrapped_velocity,SVD W=3 adjacent,1.0,1503,4.454086916920407,0.14499668031930923,0.9168677326306851,0.1100112494896166,-3.5372191842897225,16.024765138580772,10.150340385735035,38.850351236760616,22.432135178288423,0.16821209829200115,,0.054849944728730976,0.6725613114206368,0.398406374501992
zenodo_4343435,raw_positions,aliased_phase_velocity,SVD W=4 phase-slope,-1.0,1503,0.191092156728761,0.0970685578067787,-0.2997036169100663,0.24388765450567007,-0.4907957736388273,5.119855594817117,1.9298447296023369,18.32408718764782,8.605582863469825,0.2143679678097765,69.8505102554369,0.2185783544356492,-0.3414722260733979,0.7198347107438017
zenodo_4343435,raw_positions,physical_unwrapped_velocity,SVD W=4 phase-slope,1.0,1503,4.454086916920407,0.14499668031930923,0.2997036169100663,-0.24388765450567007,-4.154383300010341,16.5382937709911,10.303782299160957,38.715245574712746,22.92743742702238,0.10364859379848788,,0.03232555539835367,0.155722783528073,0.3601593625498008
zenodo_4343435,raw_positions,aliased_phase_velocity,SVD W=4 adjacent,-1.0,1503,0.191092156728761,0.0970685578067787,-0.2274066497755119,0.1990786549868062,-0.4184988065042729,5.261869312079076,1.9161766394972801,20.16975451260805,8.924379912526854,0.1843521884169588,72.43814864064005,0.1946208080496661,-0.26459715973001663,0.7206611570247934
zenodo_4343435,raw_positions,physical_unwrapped_velocity,SVD W=4 adjacent,1.0,1503,4.454086916920407,0.14499668031930923,0.2274066497755119,-0.1990786549868062,-4.2266802671448955,16.603585062646097,10.15790505334735,38.794633746147156,23.0286539591305,0.09822616698763749,,0.031717831748981344,0.08613267034929108,0.36892430278884464
